"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","78","countsOnlyPersistedTestOrdersFailed()","","2026-07-10","passed","2026-07-10","","com.gradleproject.data.OrderTestIT","com.gradleproject.data.OrderTestIT","countsOnlyPersistedTestOrdersFailed"
"","69","flywaySeedingReferenceDataButNoPerTestOrders()","","2026-07-10","passed","2026-07-10","","com.gradleproject.data.OrderTestIT","com.gradleproject.data.OrderTestIT","flywaySeedingReferenceDataButNoPerTestOrders"
"Test will brok","0","skipped()","","2026-07-10","skipped","2026-07-10","","com.gradleproject.data.AllureReport","com.gradleproject.data.AllureReport","skipped"
"","86","persistedBuilderDataAgainstIsolatedMysql()","","2026-07-10","passed","2026-07-10","","com.gradleproject.data.OrderTestIT","com.gradleproject.data.OrderTestIT","persistedBuilderDataAgainstIsolatedMysql"
"","50","persistedBuilderDataAgainstIsolatedMysqlFailed()","","2026-07-10","failed","2026-07-10","","com.gradleproject.data.OrderTestIT","com.gradleproject.data.OrderTestIT","persistedBuilderDataAgainstIsolatedMysqlFailed"
"","80","countsOnlyPersistedTestOrders()","","2026-07-10","passed","2026-07-10","","com.gradleproject.data.OrderTestIT","com.gradleproject.data.OrderTestIT","countsOnlyPersistedTestOrders"
"Categories split flaky,test and product","34","categoriesPutGenericFlakyRules()","","2026-07-10","passed","2026-07-10","","com.gradleproject.data.AllureReport","com.gradleproject.data.AllureReport","categoriesPutGenericFlakyRules"
"","81","resetMakesTestOrderFailed()","","2026-07-10","failed","2026-07-10","","com.gradleproject.data.OrderTestIT","com.gradleproject.data.OrderTestIT","resetMakesTestOrderFailed"
"Test will brok","12","brokenTest()","","2026-07-10","broken","2026-07-10","","com.gradleproject.data.AllureReport","com.gradleproject.data.AllureReport","brokenTest"
"","114","resetMakesTestOrderIndependent()","","2026-07-10","passed","2026-07-10","","com.gradleproject.data.OrderTestIT","com.gradleproject.data.OrderTestIT","resetMakesTestOrderIndependent"
